id;name;ca;mg;na;so4;cl;hco3
286;PASUBIO (ALISEA FONTE PASUBIO);57.5;28.8;1.3;50.3;1.6;259.0;
287;PEJO FONTE ALPINA;19.0;4.9;2.2;27.2;0.5;54.0;
288;PERLA;70.0;33.0;112.0;64.0;120.0;395.0;
289;PETRA PERTUSA;88.0;2.5;12.0;12.0;20.0;253.0;
290;PIAGGE DEL PRETE;-1;-1;-1;-1;-1;-1;
291;PIAN DELLA MUSSA;5.5;2.8;0.8;5.6;0.2;23.0;
292;PIC;42.0;13.2;2.9;18.0;1.5;-1;
293;PIERSANTI;457.0;117.8;210.0;379.0;283.0;1598.0;
294;PIEVE;26.9;15.8;26.7;16.2;46.1;112.8;
295;PINETA SORGENTE SALES;58.0;9.5;0.4;6.1;0.8;218.0;
296;PIODA;33.7;14.2;1.6;10.4;-1;162.0;
297;PLOSE;2.6;1.6;1.1;3.1;0.5;13.0;
298;POZZILLO;64.5;74.0;-1;255.0;198.5;-1;
299;PRACASTELLO;168.0;48.6;29.4;408.4;50.4;241.0;
300;PRADICINIO RIO DELLE GHIAIE;-1;-1;-1;-1;-1;-1;
301;PRADIS;36.4;17.0;0.6;-1;1.2;-1;
302;PRATA;150.0;11.5;4.0;-1;6.2;460.0;
303;PREALPI;83.5;21.9;20.4;57.6;14.5;315.0;
304;PRESOLANA;51.0;197.0;5.0;73.0;0.9;240.0;
305;PREZIOSA;-1;-1;-1;-1;-1;-1;
306;PRIMIA;-1;-1;-1;-1;-1;-1;
307;PRIMULA;88.5;34.4;8.8;84.3;4.4;356.8;
308;PURA;21.9;14.1;47.7;-1;59.0;134.1;
309;QUARZIA;72.78;9.45;1.5;8.31;3.4;244.0;
310;RADIOSA;87.0;15.0;8.0;20.0;6.0;308.0;
311;REALE DI TARSOGNO (ALISEA);13.0;2.2;2.9;7.4;4.3;45.0;
312;REGILLA;24.02;9.23;7.5;-1;-1;-1;
313;REGINA;657.3;119.16;5570.0;1506.0;8792.0;619.15;
314;RIVIANA;-1;-1;-1;-1;-1;-1;
315;RIVIVO;13.2;119.0;10.9;38.7;21.2;581.0;
316;ROANA;38.0;-1;0.8;0.9;1.8;112.2;
317;ROCCABIANCA;22.9;10.6;14.5;19.6;18.8;112.9;
318;ROCCA GALGANA;17.43;39.52;7.1;60.98;5.03;176.29;
319;ROCCE SARDE;15.0;8.6;108.0;23.0;-1;154.07;
320;ROCCHETTA;57.12;3.48;4.66;8.27;7.82;177.8;
321;ROCCOLO;22.0;2.06;1.16;2.1;1.44;75.5;
322;RUGIADA;65.0;17.0;15.3;51.0;103.0;257.0;
323;RUSCELLA;81.8;11.7;17.3;14.2;35.5;300.0;
324;S. ANDREA;59.8;56.0;73.0;139.0;17.2;457.5;
325;S. ANGELO;23.3;16.2;46.9;-1;80.0;116.0;
326;S. ANTONIO;33.4;5.6;3.9;1.8;1.3;134.0;
327;S. BERNARDO;15.3;2.15;1.8;5.3;3.2;50.1;
328;S. BERNARDO SORGENTE DELLA ROCCA;46.0;0.4;0.7;3.1;0.6;140.0;
329;S. BERNARDO SORGENTE ROCCIAVIVA;9.5;0.6;0.6;2.3;0.7;30.2;
330;S. CARLO;2.9;2.4;9.0;2.5;13.5;11.0;
331;S. CASSIANO;86.0;1.4;6.6;8.1;11.2;255.0;
